sentence;spam
"Một công ty khởi nghiệp cung cấp một nền tảng trò chơi hoá để giúp các doanh nghiệp hiểu và cải thiện sản phẩm và dịch vụ cho khách hàng của họ.Công ty khởi nghiệp coi mình là một loại ""Twilio cho dữ liệu"".";1
Một nền tảng để giúp các công ty kiểm soát và quản lý toàn bộ chuỗi cung ứng của họ.Công ty muốn tổng hợp dữ liệu về mọi bước trong chuỗi cung ứng, tạo ra một bản đồ toàn diện và quản lý tất cả từ một bảng điều khiển duy nhất.;1
"Một ứng dụng ""tự định lượng"" dành cho những người đam mê thể dục để theo dõi chế độ tập luyện của họ và sử dụng dữ liệu để cải thiện thói quen của họ";1
Một hệ thống để hình dung tất cả dữ liệu tài chính cho một công ty, và làm cho nó có thể thực hiện được.;1
Một nền tảng nghiên cứu thị trường cho các nhà thiết kế thời trang đóng vai trò là cơ sở dữ liệu trung tâm về giá cả, xu hướng và chất lượng.;1
Một nền tảng theo dõi lưu lượng, bãi đậu xe và dữ liệu vệ sinh từ các doanh nghiệp để giúp họ đưa ra quyết định tốt hơn về nơi mở địa điểm mới.;1
Một thiết bị đeo được có thể theo dõi dữ liệu chạy bộ và đạp xe và có thể giao tiếp với một ứng dụng điện thoại thông minh. Các startup muốn làm cho việc thực hiện các bài tập mới và theo dõi tiến độ dễ dàng hơn mà không cần phải mua một ứng dụng đeo được hoặc điện thoại thông minh.;1
Một công ty khởi nghiệp trong lĩnh vực công nghệ y tế đang nghiên cứu một chiếc vòng tay thông minh có thể theo dõi dấu hiệu sinh tồn của người đeo và phân tích dữ liệu đó để giúp xác định phương hướng hành động tốt nhất.;1
Công ty khởi nghiệp này đang xây dựng cách thức cho các nhà khoa học dữ liệu có được cảm nhận chính xác hơn về khách hàng của họ bằng cách phân tích việc mua hàng của họ như một tổng thể, chứ không chỉ là hành vi của họ như là cá nhân.;1
Một công cụ cho phép người dùng đăng ký gói dữ liệu qua Facebook Messenger, mà không cần phải có số mới.;1
Đây là một công ty khởi nghiệp cung cấp cho các công ty một cách để quản lý các trung tâm dữ liệu của riêng họ và cải thiện tính bảo mật và độ tin cậy của mạng CNTT của họ bằng cách quản lý cơ sở hạ tầng điện và làm mát.Công ty tính phí 1 đô la cho mỗi người dùng mỗi tháng cho dịch vụ này.;1
Một nền tảng để tổng hợp và bán dữ liệu từ các ứng dụng hướng đến người tiêu dùng.Sản phẩm mới này đã huy động được 20 triệu đô la cho đến nay và có quan hệ đối tác với các công ty như Tastemade, Twitter, Spotify và Soundcloud.;1
"Một công ty khởi nghiệp muốn giúp mọi người lên kế hoạch nghỉ hưu. Nó đang lên kế hoạch sử dụng khoa học dữ liệu để cung cấp "" một trải nghiệm nghỉ hưu không giống bất kỳ ai khác "".";1
"Một công ty khởi nghiệp giúp các doanh nghiệp nhỏ tiếp thị cho người mua nhà. Sản phẩm của họ là "" nền tảng tiếp thị nội dung ưu tiên "", sử dụng dữ liệu chi tiết về hàng chục biến số, bao gồm thu nhập, điểm tín dụng và loại tài sản mà họ đang tìm kiếm.";1
