sentence;field
"Một công ty đang xây dựng ""bằng chứng kỹ thuật số về khái niệm"" cho ngành công nghiệp dược phẩm.Công ty đang phát triển một nền tảng cho phép các công ty dược phẩm kiểm tra tính an toàn của thuốc thử lâm sàng và theo dõi hiệu suất của sản phẩm, dữ liệu có giá trị lớn đối với FDA.";1
" Một nền tảng để "" kể câu chuyện của bạn "". Ví dụ, bạn có thể viết một câu chuyện về chuyến công tác đến Trung Quốc, đưa vào cơ sở dữ liệu của họ hàng triệu câu chuyện khác và tạo ra một đồ họa thông tin.";1
"Dự đoán và cho phép "" đổi mới dựa trên dữ liệu "". Công ty đang tìm cách xây dựng nền tảng học máy để giúp khách hàng tìm ra những cách mới để sử dụng phân tích để làm cho doanh nghiệp của họ có lợi nhuận cao hơn.";1
Asoft solution xây dựng một nền tảng AI nhằm mục đích giúp các công ty dễ dàng hiểu được những tác động của việc sử dụng dữ liệu cá nhân.;1
Một công ty chuyên về bảo trì dự đoán và bảo dưỡng dự đoán. Họ sẽ cho bạn biết chiếc xe của bạn sẽ kéo dài bao lâu, dựa trên dữ liệu và tình trạng của xe.;1
Một startup xây dựng nền tảng để cho phép các nhà cung cấp dịch vụ chăm sóc sức khỏe chia sẻ dữ liệu, cho phép họ xem những dịch vụ khác mà một cá nhân đang sử dụng và làm việc với các nhà cung cấp để tối đa hóa việc sử dụng dịch vụ của họ.;1
Một ứng dụng chia sẻ tại nhà kết nối người thuê nhà với máy chủ và bao gồm sổ kế toán chi phí, ứng dụng tổ chức các cuộc họp, hệ thống kiểm kê và cơ sở dữ liệu liên hệ. Công ty tập trung vào ngành khách sạn và ngành khách sạn gần gũi.;1
Một nhóm các nhà nghiên cứu tại Phòng thí nghiệm Khoa học Máy tính và Trí tuệ Nhân tạo của MIT đang xây dựng một AI có thể chẩn đoán chính xác các bệnh và đưa ra dự đoán dựa trên một bộ dữ liệu tham khảo. Đó là nỗ lực mới nhất của nhóm MIT để mang sức mạnh của AI đến với công chúng.;1
Một công cụ giúp người dùng tìm kiếm nội dung họ muốn trên web, sử dụng dữ liệu từ internet. Ví dụ, công cụ này có thể tìm hiểu xem một người đã xem một bộ phim hay chưa.;1
Một nền tảng phần mềm sẽ giúp các nhà bán lẻ quản lý hàng tồn kho của họ bằng cách lấy dữ liệu từ các hệ thống nội bộ và phân tích dự đoán.;1
Một cơ sở dữ liệu dựa trên web của các ngôn ngữ lập trình web phổ biến nhất thế giới, với cơ sở dữ liệu hơn 6 triệu trang.;1
Một công cụ giúp quản lý dữ liệu mã phiếu giảm giá.;1
Một nhóm gồm ba người muốn giúp các bác sĩ đưa ra quyết định sáng suốt hơn bằng cách đưa cho họ dữ liệu từ các ứng dụng nhận thức và bản scan não.;1
 Một công cụ giúp nhân viên làm việc tốt hơn. Doanh nghiệp khởi nghiệp giúp nhân viên làm việc tốt hơn bằng cách giúp họ có được dữ liệu, sản phẩm và dịch vụ của công ty, sau đó giúp họ quản lý công việc.;1
Xenti là một sản phẩm có nghĩa là giúp mọi người nói chung mô tả hoặc hiểu các đặc tính của dữ liệu của riêng họ.;1
Tập trung vào ngành công nghiệp chăm sóc sức khoẻ, công ty khởi nghiệp này muốn loại bỏ nỗi đau về việc bảo mật dữ liệu trên Blockchain.;1
Một sản phẩm cho phép bạn lấy nhiều dữ liệu hơn từ thiết bị theo dõi Fitbit, để bạn có thể sử dụng nó để theo dõi giấc ngủ, cân nặng, hoặc tập luyện.;1
Một nền tảng để thuê tư vấn và cộng tác viên những người có thể làm các công việc như dịch thuật, phân tích dữ liệu và đọc soát.;1
"Một công ty tạo ra ""các khoá học trực tuyến để học tập"", qua đó họ tuyên bố cung cấp nhiều tài liệu hơn các trường đại học truyền thống. Họ cung cấp hơn 1.000 khóa học về các chủ đề như học máy, khoa học dữ liệu, và nhiều hơn nữa.";1
"Một ""cơ sở hạ tầng xã hội"" giúp các công ty thu thập, quản lý và tổ chức dữ liệu khách hàng của họ. Họ đang tìm kiếm một vòng tài trợ trị giá 2 triệu đô la để ""làm cho phương tiện truyền thông xã hội hoạt động cho bạn.""";1
"Một ""cơ chế một cửa "" cho bán hàng và lập hóa đơn trên nhiều ngành công nghiệp.Công ty đang xây dựng một ứng dụng để giúp người dùng của các công ty khác nhau mang dữ liệu bán hàng và lập hóa đơn, sau đó kết hợp tất cả lại thành một sản phẩm duy nhất.";1
"Một công ty đang xây dựng một ""trợ lý kỹ thuật số"" cho các bác sĩ. Công ty khởi nghiệp dựa trên AI, xử lý ngôn ngữ tự nhiên và học máy để giúp các bác sĩ quản lý dữ liệu bệnh nhân tốt hơn và duy trì một bệnh nhân khỏe mạnh.";1
Một nền tảng kết nối doanh nghiệp và con người, và giúp tăng năng suất bằng cách kết nối con người và dữ liệu.;1
Một nền tảng lưu trữ tệp cho các doanh nghiệp muốn làm cho dữ liệu của họ dễ dàng truy cập trên nhiều thiết bị.;1
Một startup sử dụng dữ liệu để giúp mọi người đưa ra quyết định sáng suốt hơn về chăm sóc sức khỏe của họ bằng cách kết nối họ với bác sĩ và y tá những người có thể cung cấp lời khuyên y tế theo thời gian thực.;1
Một công ty khởi nghiệp giúp đỡ người vô gia cư với cơ sở dữ liệu về các nơi trú ẩn cho người vô gia cư, cung cấp thông tin cập nhật về nơi trú ẩn và cách giúp đỡ họ bằng cách quyên góp cho các nơi trú ẩn.;1
Một ứng dụng di động giúp mọi người tiêm sự đồng ý vào bài đăng của họ, cho phép họ tạo bài đăng bằng dữ liệu sinh trắc học mà không phải gõ mật khẩu thủ công.;1
Một nền tảng cho phép người tiêu dùng theo dõi mức tiêu thụ năng lượng của chính họ.Dữ liệu năng lượng được chuyển đến công ty tiện ích, sau đó so sánh các mô hình tiêu thụ với các mô hình lịch sử để xác định mức tiêu thụ năng lượng của từng ngôi nhà.;1
Ý tưởng: Dịch vụ tư vấn dựa trên dữ liệu cho nhà đầu tư mạo hiểm;1
"Một cách để tạo ra ""trò chơi"" cá nhân hoá bằng cách sử dụng cơ sở dữ liệu về hành vi của người dùng và chính người dùng.Thay vì hiển thị cho người chơi một trải nghiệm được xác định trước, nó cho họ thấy một hỗn hợp nội dung và dữ liệu của chính họ, cho phép họ tạo ra trải nghiệm cá nhân hoá của riêng họ.";1
